title;date;description;genre;rating;users_rating;votes;languages;directors;actors;runtime
Si Manis Jembatan Ancol;12/10/1966;Terrifying legends has spread out. The appearance of Maryam as the ghost has been seen for so many times, at the old bridge or in the other place. She spread terrors for revenge.;Horror;17+;5.6;42;Indonesian;Anggy Umbara;['Indah Permatasari', 'Arifin Putra', 'Randy Pangalila', 'Ozy Syahputra', 'Ananta Rispo', 'Arief Didu', 'Ruth Permatasari', 'Anyun Cadel', 'Egy Fedly', 'Tomy Babap', 'Saad Afero', 'Willem Bevers', 'Ebel Cobra', 'Kake Gayung', 'Andreano Philip'];72
Sin;11/04/1999;Metta and Raga shouldn't fall in love. Raga hates girls with many dramas like Metta. Metta just wants to prove that there is no good in Raga. But, they still fall in love.;Drama;13+;7.8;53;Indonesian;Herwin Novianto;['Bryan Domani', 'Mawar Eva de Jongh', 'Jerome Kurnia', 'Dannia Salsabila', 'Carmela van der Kruk', 'Marthino Lio', 'Ali Seggaf', 'Ciara Nadine Brosnan', 'Hans de Kraker', 'Jessica Lucyana Taroreh', 'Jeremy Thomas', 'Nadine Alexandra', 'Adhitya Alkatiri', 'Yama Carlos', 'Sari Nila'];116
Single 2;26/11/2006;Ebi is going towards 30 years old and still single. Now, Ebi is determined that before his 30th birthday he must release his single status. He must have a girlfriend. Even though he doesn't know how to do it at all.;Comedy;13+;7.2;75;Indonesian;Raditya Dika;['Raditya Dika', 'Annisa Rawles', 'Yoga Arizona', 'Ridwan Remin', 'Arif Muhammad', 'Mentari Novel', 'Tinna Harahap', 'Frederik Alexander', 'Dede Yusuf', 'Desy Iwanti', 'Rina Hasyim', nan, nan, nan, nan];143
Susi Susanti: Love All;21/07/2003;Susi Susanti rises through the rank to become Indonesia's most beloved athlete. In time of economic turmoil, Susi seizes the opportunity to show her country and the world that heroism is measured by the depth of one's sacrifice.;Biography;13+;7.5;141;Indonesian;Sim F.;['Laura Basuki', 'Dion Wiyoko', 'Jenny Chang', 'Lukman Sardi', 'Farhan', 'Moira Tabina Zayn', 'Kelly Tandiono', 'Rafael Landry Tanubrata', 'Kin Wah Chew', 'Iszur Muchtar', 'Dayu Wijanto', 'Delon', 'Nathaniel Sulistyo', nan, nan];192
Tabu: Mengusik Gerbang Iblis;13/11/2004;When six best high school buddies are cross the forbidden forest and broken all the rules in there, something evil follow their back and causing death among themselves.;Horror;17+;5.6;19;Indonesian;Angling Sagaran;['Angga Yunanda', 'Isel Fricella', 'Bastian Steel', 'Agatha Chelsea', 'Rayn Wijaya', 'Elina Joerg', 'Alfie Alfandi', 'Mona Ratuliu', 'Radja Nasution', 'Laksmi Notokusumo', 'Oce Permatasari', 'Vicky Nitinegoro', 'Emmy Lemu', 'Eka Gandara', 'Iang Darmawan'];163
Tembang Lingsir;01/02/1981;Mala always deals with Tembang Lingsir, a song taught by her mother from her childhood. After a mysterious fire incident that killed her mother, Mala lost her voice. Then, Mala lives in her...;Horror;17+;5.2;19;Indonesian;Rizal Mantovani;['Marsha Aruan', 'Aisyah Aqilah', 'T. Rifnu Wikana', 'Meisya Siregar', 'Faras Fatik', 'Jennifer Coppen', 'Sarah Tuffahati', 'Ida Zein', 'Arya Vasco', 'Chaca Marisa', 'Erlyn', 'Reza Orkan', nan, nan, nan];141
Terimakasih Cinta;06/04/1954;Eva just enters high school when she meets Ryan, because both belong to a group of student who have a disease during the School Orientation Period. Ryan thinks that Eva is just pretending ...;Drama;13+;7.8;10;Indonesian;Tema Patrosza;['Putri Marino', 'Achmad Megantara', 'Allan Dastan', 'Cut Mini Theo', 'Gary M. Iskak', 'Meisyarah Oemry', 'Okan Kornelius', 'Harry de Fretes', 'Zhi Alatas', 'Az Bintang Kaamil', 'Bunga Jasmine Azalea', 'Amalia Putri Wulandari', 'Amalia Bunga Pratiwi', 'Amalia Melati Suci', nan];95
Terlalu Tampan;25/06/1975;Kulin, an overly handsome boy, always avoids entering regular school and chooses to spend almost 100% of his life inside the house. One day, Kulin's handsomeness is exposed to the outside world so his daily life becomes unusual.;Comedy;13+;7.0;278;Indonesian;Sabrina Rochelle Kalangie;['Ari Irham', 'Nikita Willy', 'Rachel Amanda', 'Calvin Jeremy', 'Dhimas Danang', 'Tarra Budiman', 'Iis Dahlia', 'Marcellino Lafrand', nan, nan, nan, nan, nan, nan, nan];172
The Fugitive;09/03/1989;Six months after PETA's failure to fight Nippon, Hardo returns to his village in Blora. His presence is smelled by Nippon, tracked and pursued. In a chase one day and night before the ...;Drama;13+;3.7;53;Indonesian;Richard Oh;['Adipati Dolken', 'Ayushita', 'Ernest Samudera', 'Khiva Iskak', 'Kho Michael', 'Egy Fedly', 'Nobuyuki Suzuki', 'Kevin Andrean', 'Emil Kusumo', 'Otig Pakis', 'Rizky Mocil', 'Muhamad', 'Brisman', 'Brilliana Arfira', 'Burhan Salim'];116
The Sacred Riana: Beginning;20/02/1951;In her childhood, Riana lived in a small town with her father and her mother who ran a funeral house business. A disaster required them move to Uncle Johan's house in Jakarta and Riana ...;Horror;17+;6.9;54;Indonesian;Billy Christian;['The Sacred Riana', 'Aura Kasih', 'Agatha Chelsea', 'Prabu Revolusi', 'Citra Prima', 'Frisly Herlind', 'Angrean Ken', 'Willem Bevers', 'Ciara Nadine Brosnan', 'Brooklyn Alif Rea', 'Carlos Camelo', 'Jessiana Marriera Pariston', 'Rean Firmansyah', 'Geraldy Krechoff', 'Chaca Marisa'];159
The Santri;22/10/1955;;Adventure;;3.9;10;Indonesian;Ken Zheng;['Azmi Askandar', 'Emil Dardak', 'Wirda Mansur', 'Veve Zulfikar', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan];177
The Way I Love You;13/01/2010;Senja does not know the man named BadBoy who often chat with her on blog. She always smiles remembering their conversation. Bara is the most annoying guy in school and her cousin's ...;Drama;13+;7.5;19;Indonesian;Rudi Aryanto;['Syifa Hadju', 'Rizky Nazar', 'Tissa Biani Azzahra', 'Baskara Mahendra', 'Surya Saputra', 'Adi Nugroho', 'Windy Wulandari', nan, nan, nan, nan, nan, nan, nan, nan];136
This Earth of Mankind;25/03/1965;A native Javanese boy and a mixed-Dutch girl fall in love during the early 20th-century colonial turbulence in Dutch East Indies (now Indonesia).;Drama;17+;6.6;514;Indonesian;Hanung Bramantyo;['Iqbaal Dhiafakhri Ramadhan', 'Mawar Eva de Jongh', 'Sha Ine Febriyanti', 'Giorgino Abraham', 'Bryan Domani', 'Jerome Kurnia', 'Donny Damara', 'Ayu Laksmi', 'Dewi Irawan', 'Kin Wah Chew', 'Kelly Tandiono', 'Christian Sugiono', 'Hans de Kraker', 'Ciara Nadine Brosnan', 'Amanda Khairunnisa'];146
Trinity Traveler;15/12/1984;Trinity is better known as TRINITY TRAVELER, and got a master degree scholarship in Philippines. Her parents wants her to get married soon. Trinity once again met Paul, but now she's in a dilemma between her love and her passion.;Adventure;13+;5.8;16;Indonesian;Rizal Mantovani;['Maudy Ayunda', 'Hamish Daud', 'Rachel Amanda', 'Anggika Bolsterli', 'Babe Cabita', 'Cut Mini Theo', 'Muhammad Farhan', 'Ayu Dewi', 'Dayu Wijanto', 'Melanie Ricardo', 'Sumaisy Djaitov Yanda', 'Ayu Gani', 'Jryan Karsten', 'Sitta Novita', 'Katyana'];113
Twivortiare;29/01/2003;A man and woman fell in love and immediately got married. After two years, they decided to divorce because of all the endless conflicts. But after various events always bring them to meet each other again, their love blossoms again.;Drama;17+;5.8;165;Indonesian;Benni Setiawan;['Reza Rahadian', 'Raihaanun Soeriaatmadja', 'Arifin Putra', 'Denny Sumargo', 'Citra Kirana', 'Anggika Bolsterli', 'Dimas Aditya', 'Boris Bokir', 'Ferry Salim', 'Lydia Kandou', 'Roy Marten', 'Aida Nurmala', 'Dwi Yan', 'Leroy Osmani', 'Ingrid Widjanarko'];115
Uka-Uka the Movie: Nini Tulang;23/05/1980;The popularaity of Uka-uka program on television makes Shelly want to participate in the courage test. The Uka-uka team is heading to the location of the latest courage test: Alas Moyang, ...;Horror;13+;4.8;12;Indonesian;Ubay Fox;['Stefhani Zamora Husen', 'Yoriko Angeline', 'Gusti Rayhan', 'Debo Andryos', 'Reza Aditya', 'Torro Margens', 'Ricky Perdana', 'Volland Volt', 'Harris Cinnamon', 'Zulfa Maharani', 'Katrina', 'Saphira Indah', 'Yudha Keling', 'Arya Cebol', 'Mini Sagita'];148
Warkop DKI Reborn 3;26/05/1976;Dono, Kasino, and Indro are assigned as a secret police agent. They are under the command of Commander Cok, who lost his aide, Karman, when he smells money laundering in the Indonesian film industry.;Adventure;13+;4.4;102;Indonesian;Rako Prijanto;['Aliando Syarief', 'Adipati Dolken', 'Randy Nidji', 'Indro Warkop', 'Mandra', 'Salshabilla Adriani', 'Ganindra Bimo', 'Dewa Dayana', 'Aurora Ribero', nan, nan, nan, nan, nan, nan];198
Wedding Agreement;15/05/1979;Tari (Indah Permatasari) is immediately confronted with a marriage agreement with Bian (Refal Hady) which says that they would divorce within one year because their marriage is only for the sake of his parents.;Drama;17+;5.9;112;Indonesian;Archie Hekagery;['Indah Permatasari', 'Refal Hady', 'Aghniny Haque', 'Jeff Smith', 'Ria Ricis', 'Bucek Depp', 'Unique Priscilla', 'Mathias Muchus', 'Ria Irawan', 'Fergie Giovanna Brittany', 'Yatti Surachman', 'Teddy Snada', nan, nan, nan];56
Yowis Ben 2;03/06/2014;The popularity of Yowis Ben in Malang doesn't resolve Bayu's financial problems. The other members also have their own problems. Then they are introduced to Cak Jim who claims can raise them become a national artist.;Comedy;13+;7.2;197;Indonesian;Fajar Nugros;['Bayu Skak', 'Joshua Suherman', 'Brandon Salim', 'Tutus Thomson', 'Anya Geraldine', 'Anggika Bolsterli', 'Devina Aureel', 'Laura Theux', 'Timo Scheunemann', 'Arief Didu', 'Tri Yudiman', 'Cut Meyriska', 'Glenca Chysara', 'Aliyah Faizah', 'Clairine Clay'];116
Zeta: When the Dead Awaken;09/06/1968;Deon witness a strange incident when a friend he beats suddenly bites the nurse's neck and becomes a cannibal. After that, the attacks from the zombies happen quickly at school and on the ...;Action;17+;5.8;12;Indonesian;Amanda Iswan;['Cut Mini Theo', 'Jeff Smith', 'Dimas Aditya', 'Edo Borne', 'Joshua Pandelaki', 'Willem Bevers', 'Revaldo', 'Natasha Gott', 'Chicco Kurniawan', 'Atiq Rachman', 'Intan Febiyanti', 'Elis Alisha', 'Iang Darmawan', 'Anggis Dinda', 'Cindya Ayu'];191
#FriendButMarried;13/11/1963;Ayudia (Vanesha Prescilla) and Ditto (Adipati Dolken) have been best friends for 12 years. And for all those times, Ditto has been secretly in love with her. Until one day, Ayudia told him that she's gonna get married.;Biography;13+;6.9;483;Indonesian;Rako Prijanto;['Adipati Dolken', 'Vanesha Prescilla', 'Refal Hady', 'Denira Wiraguna', 'Shara Virrisya', 'Sari Nila', 'Rendi Jhon', 'Beby Tsabina', 'Diandra Agatha', 'Sarah Sechan', 'Iqbaal Dhiafakhri Ramadhan', 'Ivan Leonardy', 'Clay Gribble', 'Sandrinna Michelle', 'Cole Gribble'];173
13: The Haunted;18/05/1979;Seven jet set friends who get tired of richness attempt to gain popularity by defeating two famous vloggers, The Jackal, which always covers the existence of ghosts. The effort brings the ...;Horror;13+;5.6;41;Indonesian;Rudy Soedjarwo;['Al Ghazali', 'Mikha Tambayong', 'Valerie Thomas', 'Achmad Megantara', 'Endy Arfian', 'Atta Halilintar', 'Marsha Aruan', 'Stefhani Zamora Husen', 'Nurul Mukharomah', 'Jeremy Thomas', 'Fauzi Baadila', 'Tia Ivanka', 'Wani Siregar', 'Khadijah Banderas', 'Juna Rorimpandey'];164
212: The Power of Love;19/05/1983;A journalist found out that his family would take part in the December 2nd Peace Protest Action in Jakarta also known as 212 Action. He tried to thwart his father's intentions, fearing the action would trigger riots and cause casualties.;Drama;;5.0;71;Indonesian;Jastis Arimba;['Kholidi Asadil Alam', 'Fauzi Baadila', 'Adhin Abdul Hakim', 'Asma Nadia', 'Meyda Sefira', 'Hamas Syahid', 'Erick Yusuf', nan, nan, nan, nan, nan, nan, nan, nan];195
22 Menit;11/10/2009;22 minutes before, during and after the explosion of Thamrin's bomb.;Action;13+;6.2;121;Indonesian;Eugene Panji;['Ario Bayu', 'Ade Firman Hakim', 'Ardina Rasti', 'Ence Bagus', 'Fanny Fadillah', 'Mathias Muchus', 'Khiva Iskak', 'Taskya Namya', 'Totos Rasiti', 'Hans de Kraker', 'Vincent Ryan Rompies', 'Nitta Nazyra C. Noer', 'Andre Bablo Fardanish', nan, nan];193
3 Dara 2;14/04/2000;Three years after they experiencing an identity crisis, the life of three men, Affandi (Tora Sudiro), Jay (Adipati Dolken), and Richard's (Tanta Ginting), seems happy. However, they repeat the same mistake: belittling women.;Comedy;;7.0;24;Indonesian;Monty Tiwa;['Tora Sudiro', 'Adipati Dolken', 'Tanta Ginting', 'Cut Mini Theo', 'Fanny Fabriana', 'Ovi Dian', 'Rania Putri Sari', 'Rianti Cartwright', 'Henky Solaiman', 'Soleh Solihun', 'Umar Alwi', 'Dwi Sasono', 'Widuri Sasono', 'Robby Sugara', 'Niken Anjani'];65
A Man Called Ahok;17/05/1979;Depicts the life of the titular former governor of Jakarta before he ran for office, Ahok learned a lot about discipline from his father who ran a mining business in Belitung while dealing with various corrupt people.;Biography;13+;8.7;4235;Indonesian;Putrama Tuta;['Daniel Mananta', 'Kin Wah Chew', 'Eric Febrian', 'Denny Sumargo', 'Sita Nursanti', 'Eriska Rein', 'Jill Gladys', 'Donny Damara', 'Edward Akbar', 'Ferry Salim', 'Yayu A.W. Unru', 'Jenny Chang', 'Arswendi Nasution', 'Donny Alamsyah', 'Ade Irawan'];100
Aib #Cyberbully;07/05/1991;8 friends are trapped in a dangerous game. They revealed each other's shameful act to free themselves from the game.;Horror;21+;5.2;28;Indonesian;;['Damita Argobie', 'Ade Ayu', 'Yuniza Icha', 'Harris Illano', 'Michael Lie', 'Shoumaya Tazkiya', 'Baron Wildchut', 'Wendy Wilson', nan, nan, nan, nan, nan, nan, nan];157
Alas Pati: Hutan Mati;24/08/1951;Raya and her four friends go to a haunted forest to film a mysterious graveyard located there. But strange things begin to happen, including finding a row of dead bodies on a bamboo ...;Adventure;17+;5.2;61;Indonesian;Jose Poernomo;['Nikita Willy', 'Jeff Smith', 'Naomi Paulinda', 'Roy Sungkono', 'Stefhani Zamora Husen', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan];127
Ananta;24/05/2016;Tania (Michelle Ziudith), is anti-social and filled with fantasies that she always pour into her canvas. She is also a type of rebel girl.;Comedy;13+;8.0;52;Indonesian;Rizki Balki;['Michelle Ziudith', 'Fero Walandouw', 'Nino Fernandez', 'Jihane Almira', 'Roy Sungkono', 'Anjasmara', 'Nova Eliza', 'Asri Welas', 'Astrid Tiar', 'Josephine Firmstone', nan, nan, nan, nan, nan];180
Arini;04/02/1984;On the train in Germany, Arini (Aura Kasih), a 38 years old woman, meets a man named Nick (Morgan Oey) who is 15 years younger than her. Nick falls in love and tries to get into Arini's life, while Arini no longer believes in love.;Drama;17+;7.5;84;Indonesian;Ismail Basbeth;['Aura Kasih', 'Morgan Oey', 'Olga Lydia', 'Haydar Salishz', 'Tri Sudarsono', 'Multiyanti', 'Noel Kevas', 'Karl D. Guilbert', 'Siti Fauziah', 'Acintyaswati Widianing', 'Haru Sandra', 'Briliana Dewi', 'Ika Barata', 'Rukman Rosadi', nan];140
Aruna & Lidahnya;18/04/1983;An epidemiologist tried to satisfy her obsession with food when she was assigned to investigate a bird flu case.;Drama;17+;7.3;539;Indonesian;Edwin;['Dian Sastrowardoyo', 'Nicholas Saputra', 'Hannah Al Rashid', 'Oka Antara', 'Muhammad Yusuf H. Abubakar', 'Ayu Azhari', 'Hamzah Hoesin Bahanan', 'Dasijem', 'Deddy Mahendra Desta', 'Yon Gondrong', 'Irna Jufe', 'Bu Lis', 'Anggun Priambodo', 'Adhy Suhindra Rachman', 'Bee Maura Roki'];193
Arwah Tumbal Nyai the Trilogy: Part Arwah;11/11/2005;Syurkiani is very curious why she is always banned by her grandmother, Lela, to learn jaipong dance. Silently Syurkiani comes to Nyi Imas, a former jaipong dancer to learn the dance. Nyi ...;Horror;17+;3.7;45;Indonesian;Arie Azis;['Zaskia Gotik', 'Shakti Arora', 'Lia Waode', 'Minati Atmanegara', 'Ingrid Widjanarko', 'Meike Rose', 'Dewi Gita', 'Otig Pakis', 'Egy Fedly', 'Piet Pagau', 'Masayu Anastasia', 'Nella Anne', 'Riza Rahayu Efendi', 'Sophie Damayanti', 'Silvia Gosari'];150
Arwah Tumbal Nyai the Trilogy: Part Nyai;18/08/1974;Bad things begin to happen when Rosma refuses to worship the evil entity Nyai that her late grandmother used to worship.;Horror;13+;5.3;17;Indonesian;Arie Azis;['Zaskia Gotik', 'Dewi Perssik', 'Aqilla Herby', 'Ayu Ting Ting', 'Raffi Ahmad', 'Ayu Dyah Pasha', 'Echa Permatasari', 'Otig Pakis', 'Tyas Mirasih', 'Rafi Haikal', 'Rahman Yacob', 'Jajang C. Noer', 'Fuad Idris', 'Mak Nur', nan];68
Asal Kau Bahagia;17/06/1967;A love story of Aliando and Aurora. Ali gets a severe accident and has to lie in a coma. Although his body lays helpless and has to race between life and death, Ali's soul lives like a normal human.;Drama;13+;7.5;59;Indonesian;Rako Prijanto;['Aliando Syarief', 'Aurora Ribero', 'Teuku Rasya', 'Dewa Dayana', 'Surya Saputra', 'Vonny Cornellya', 'Hans de Kraker', 'Meisya Siregar', 'Sari Koeswoyo', 'Daan Aria', 'Verdi Solaiman', nan, nan, nan, nan];73
Asih;09/10/1965;"The origins of a Kuntilanak named ""Asih"", one of the ghosts from Danur movie.";Horror;17+;5.3;156;Indonesian;Awi Suryadi;['Shareefa Daanish', 'Citra Kirana', 'Darius Sinathrya', 'Alex Abbad', 'Marini', 'Djenar Maesa Ayu', 'Egy Fedly', nan, nan, nan, nan, nan, nan, nan, nan];172
Assalamualaikum Calon Imam;01/12/1969;A trauma makes Nafisya (Natasha Rizki) doesn't believe in men. But since childhood, she has a feeling for Jidan (Andi Arsyil). However, Jidan instead proposes her sister. In a broken heart, she accidentally met a new man in an accident.;Drama;;7.8;14;Indonesian;Findo Purwono;['Miller Khan', 'Merdi Octav', 'Andi Arsyil Rahman', 'Natasha Rizki', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan];198
Ave Maryam;29/03/1974;Maryam a catholic nun who falls in love with a pastor.;Drama;17+;7.3;234;Indonesian;Robby Ertanto;['Sendy Febrina', 'Maudy Koesnaedi', 'Chicco Jerikho', 'Tutie Kirana', 'Olga Lydia', 'Joko Anwar', 'Nathania Angela', 'Suhartini', 'Atie Krisnawati', 'Ratnawati Sutandar', 'Ninik Winarni Utomo', 'Esther Trini Sri Sugianti', 'Nadya Clarinta Amin', nan, nan];158
Baco Becce;14/08/2013;;Comedy;13+;8.8;23;Indonesian;Syahrir Arsyad Dini;['Mimi Peri', 'Syukri Algazali', 'Mamak Ramlah', 'Cuke Lelaki Tamvang', 'Zakaribo', 'Oki Daeng Mabone', 'Jabir', 'Veni Willar', 'Citra Udhin', 'Khusnul Khatimah', 'Amirah Apriliia', 'Muis Ceska', 'Anjas Chambank', 'Syahriar Tato', 'Wandi Dg Kulle'];151
Bayi Gaib: Bayi Tumbal Bayi Mati;16/05/2006;Rafa, a successful contractor, is having a baby with his wife, Farah. But things get strange when the birth of the baby is unnormal and a lot of mysterious things happen around Rafa and Farah.;Horror;;6.6;7;Indonesian;Rizal Mantovani;['Rianti Cartwright', 'Mario Lawalatta', 'Ashraf Sinclair', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan];125
Belok Kanan Barcelona;20/12/1966;Four friends have been together since high school. Now, when one of them is getting married, all three of them must confess their feelings before it's too late.;Adventure;13+;7.1;89;Indonesian;Guntur Soeharjanto;['Morgan Oey', 'Mikha Tambayong', 'Deva Mahenra', 'Anggika Bolsterli', 'Millane Fernandez', 'Atta Halilintar', 'Delano Daniel', 'Ananta Rispo', 'Yusril Fahriza', 'Cut Mini Theo', 'Cok Simbara', 'Eksanti', 'Karina Suwandhi', 'Elkie Kwee', 'Tike Priatnakusumah'];158
Benyamin Biang Kerok;05/04/1998;Knowing that their headquarter and residential areas of Betawi suburbs will be evicted, Pengki (Reza Rahadian), Somad (Adjis Doaibu), and Achie (Aci Resti) sabotage illegal casinos in Jakarta.;Comedy;17+;2.9;213;Indonesian;Hanung Bramantyo;"['Reza Rahadian', 'Delia Husein', 'Rano Karno', 'Meriam Bellina', 'Adjis Doaibu', 'Aci Resti', 'Kitty Felicia', 'Qomar', 'Billa Barbie', 'Lydia Kandou', ""Hamka De' Vito Siregar"", 'Melanie Ricardo', 'Tora Sudiro', 'Jelita Ramlan', 'Chintya Candranaya']";134
Bisikan Iblis;08/06/2008;In an all-girl school, there will always be a mysterious death every year, and Nany is enrolled in this school.;Horror;13+;4.9;34;Indonesian;Hanny Saputra;['Amanda Manoppo', 'Rebecca Klopper', 'Zoe Abbas Jackson', 'Andira Hadley', 'Nicole Parham', 'Raquel Katie Larkin', 'Ayu Dyah Pasha', 'Dicky Wahyudi', 'Aquene Aziz Djorghi', 'Gilbert Pattiruhu', 'Elsa Diandra', 'Shakira Sheldrick', 'Syafira Haddad', 'Nicolea Anstee', 'Fonny Silvia'];117
Bodyguard Ugal-Ugalan;22/04/1967;Syahrini's life began to be disrupted when he began to get a lot of terror from strangers and threatened the safety and preparation of his solo concert.;Comedy;13+;5.7;52;Indonesian;Irham Acho Bahtiar;['Syahrini', 'Tamara Blezinski', 'Boris Bokir', 'Muhadkly Acho', 'Lolox', 'Anyun Cadel', 'Melayu Nicole', 'Ririn Ekawati', 'Melanie Ricardo', 'Chika Jessica', nan, nan, nan, nan, nan];57
Buffalo Boys;09/11/1952;Two brothers named Jamar and Suwo came back to the land of Java to avenge their father, who was a Sultan, after years of exile in America.;Action;TV-MA;5.8;1004;Indonesian;Mike Wiluan;['Yoshi Sudarso', 'Ario Bayu', 'Pevita Pearce', 'Tio Pakusadewo', 'Reinout Bussemaker', 'Daniel Adnan', 'Happy Salma', 'Mikha Tambayong', 'El Manik', 'Donny Alamsyah', 'Donny Damara', 'Alex Abbad', 'Hannah Al Rashid', 'Zack Lee', 'Sunny Pang'];64
Cinta sama dengan Cindolo Na Tape;30/10/2014;Timi (A. Thesar Resandy) falls in love with Cinde (Maizura), a new student in his class. Their closeness makes Timi's friend since junior high, growl because Timi becomes rarely hang out with his best friend anymore.;Comedy;13+;8.3;9;Indonesian;Andi Burhamzah;['A. Thesar Resandy', 'Maizura', 'Brilian Rexy Sondakh', 'Syukri', 'Ainun Masyita', 'Akrabarka', 'Arjun', 'Nayla Irwan', 'Zulkifli Ghani', 'Syahriar Tato', nan, nan, nan, nan, nan];88
DOA (Doyok-Otoy-Ali Oncom): Cari Jodoh;30/05/1959;Doyok, Otoy, and Ali Oncom are three unemployed buddies, each of them had a unique character and hilarious behavior. The adventure began when they agreed to find a match for Doyok who has ...;Comedy;13+;6.1;54;Indonesian;Anggy Umbara;['Fedi Nuril', 'Pandji Pragiwaksono', 'Dwi Sasono', 'Nirina Zubir', 'Titi Kamal', 'Laura Basuki', 'Jihane Almira', 'Opie Kumis', 'T.M. Tarsan', 'Ence Bagus', nan, nan, nan, nan, nan];53
Dancing in the Rain;27/07/1978;A very pretty woman dancing in the street to techno music. stranger things have been known to occur, and at last some good music.;Drama;Not Rated;8.1;59;Indonesian;Rudi Aryanto;['Dimas Anggara', 'Bunga Zainal', 'Deva Mahenra', 'Christine Hakim', 'Gilang Olivier', 'Greesella Adhalia', 'Joshua Rundengan', 'Niniek L. Karim', 'Djenar Maesa Ayu', 'Dolly Martin', 'Keke Soeryo', 'Qory Sandioriva', 'Ayu Dyah Pasha', 'Agus Lemu Radia', 'Tuminten'];120
Danur 2: Maddah;15/06/1978;A girl who has 3 ghost friends now lives with her sister who is getting embarrassed with the girl's ability to see ghosts.;Horror;17+;5.7;354;Indonesian;Awi Suryadi;['Prilly Latuconsina', 'Sandrinna Michelle', 'Shawn Adrian Khulafa', 'Sophia Latjuba', 'Bucek Depp', 'Gamaharitz', 'Kevin Bzezovski', 'Alexander Bain', 'Matt White', 'Justin Rossi', 'Elena V. Holovcsak', 'Annov Hari Prabowo', 'Carolina Passoni Fattori', 'Arjan Onderdenwijngaard', 'Risa Saraswati'];142
Dear Nathan Hello Salma;30/04/1951;"Sequel to the 2017 movie ""Dear Nathan"" follows the continued relationship between two young people in love.";Drama;13+;8.0;195;Indonesian;Indra Gunawan;['Jefri Nichol', 'Amanda Rawles', 'Susan Sameh', 'Devano Danendra', 'Surya Saputra', 'Karina Suwandhi', 'Gito Gilas', 'Diandra Agatha', 'Sonia Alexa', 'Zoe Abbas Jackson', 'Rendi Jhon', 'Ozan Arkananta', 'Talu Prussia', 'Bramanta Sadhu', 'Firman Ferdiansyah'];171
Dilan 1990;21/04/1989;Milea (Vanesha Prescilla) met with Dilan (Iqbaal Ramadhan) at a high school in Bandung in 1990. An unusual introduction brings Milea to know the uniqueness of Dilan who is smart, kind, and romantic in her eyes.;Drama;13+;7.3;2799;Indonesian;Pidi Baiq;['Iqbaal Dhiafakhri Ramadhan', 'Vanesha Prescilla', 'Yoriko Angeline', 'Gusti Rayhan', 'Zulfa Maharani', 'Giulio Parengkuan', 'Stefhani Zamora Husen', 'Debo Andryos', 'Omara N. Esteghlal', 'Brandon Salim', 'Refal Hady', 'Adhisty Zara', 'Iang Darmawan', 'Farhan', 'Ayu Inten'];148
Dimsum Martabak;08/12/1971;Mona (Ayu Ting Ting) works at the Chinese restaurant which serves Dimsum as its main menu. her boss's wife was jealous until Mona was fired. Mona was forced to find another job until she meets a young entrepreneur named Soga (Boy William).;Comedy;13+;6.2;63;Indonesian;Andreas Sullivan;['Ayu Ting Ting', 'Boy William', 'Meriam Bellina', 'Muhadkly Acho', 'Denira Wiraguna', 'Tyas Mirasih', 'Ferry Salim', 'Olga Lydia', 'Kin Wah Chew', 'Elkie Kwee', 'Stella Cornelia', 'Henky Solaiman', 'Anyun Cadel', 'Fico Fachriza', 'Lena Magdalena'];143
Dongeng Mistis;05/06/1952;;Horror;17+;6.6;22;Indonesian;Orizon Astonia;['Gandhi Fernando', 'Dhea Ananda', 'Putri Ayudya', 'Btari Chinta', 'Maryam Supraba', 'Ade Firman Hakim', 'Khiva Iskak', nan, nan, nan, nan, nan, nan, nan, nan];168
Eiffel I'm in Love 2;20/12/1978;14 years passed. Tita who was a freshman in high school has become an adult woman. For 14 years also, Tita and Adit live long-distance relationship. Tita starts to worry because Adit did not propose her, while her friends were married.;Drama;13+;6.8;329;Indonesian;Rizal Mantovani;['Shandy Aulia', 'Samuel Rizal', 'Saphira Indah', 'Tommy Kurniawan', 'Marthino Lio', 'Helmy Yahya', 'Arifin Hilda', 'Shakira Alatas', 'Wafda Saifan Lubis', nan, nan, nan, nan, nan, nan];128
Generasi Micin;20/12/1958;For Kevin (Kevin Anggara), school is a boring place. He only has three best friends in his class. One day, Kevin found a mysterious website that challenged him to do naughty things at school.;Comedy;13+;6.4;72;Indonesian;Fajar Nugros;['Kevin Anggara', 'Clairine Clay', 'Morgan Oey', 'Joshua Suherman', 'Teuku Ryzki', 'Kamasean Matthews', 'Ari Irham', 'Jennifer Coppen', 'Ferry Salim', 'Melissa Karim', 'Cut Mini Theo', 'Yuven', 'Mathias Muchus', 'Hifdzi Khoir', 'Ricky Wattimena'];53
